Provence,number,year,GDP
吉林,tGDP,1988,368.6700134
河北,first_num,1988,162.3099976
河北,second_num,1988,323.3999939
河北,third_num,1988,215.6199951
河北,tGDP,1988,701.3300171
湖北,first_num,1988,214.6600037
湖北,second_num,1988,271.25
湖北,third_num,1988,140.6100006
湖北,tGDP,1988,626.5200195
贵州,first_num,1988,85.19999695
贵州,second_num,1988,78.62999725
贵州,third_num,1988,47.95999908
贵州,tGDP,1988,211.7899933
山东,first_num,1988,331.9400024
山东,second_num,1988,497.1000061
山东,third_num,1988,288.6199951
山东,tGDP,1988,1117.660034
江西,first_num,1988,119.1800003
江西,second_num,1988,117.3799973
江西,third_num,1988,89.26999664
江西,tGDP,1988,325.8299866
河南,first_num,1988,240.7200012
河南,second_num,1988,299.8299866
河南,third_num,1988,208.5399933
河南,tGDP,1988,749.0900269
辽宁,first_num,1988,141.8999939
辽宁,second_num,1988,492.5
辽宁,third_num,1988,246.6000061
辽宁,tGDP,1988,881
山西,first_num,1988,48.54000092
山西,second_num,1988,163.2899933
山西,third_num,1988,104.8600006
山西,tGDP,1988,316.6900024
安徽,first_num,1988,210.5299988
安徽,second_num,1988,200.9499969
安徽,third_num,1988,135.4600067
安徽,tGDP,1988,546.9400024
福建,first_num,1988,118.1600037
福建,second_num,1988,141.8200073
福建,third_num,1988,123.2300034
福建,tGDP,1988,383.2099915
浙江,first_num,1988,195.6799927
浙江,second_num,1988,354.3900146
浙江,third_num,1988,220.1799927
浙江,tGDP,1988,770.25
江苏,first_num,1988,319.1799927
江苏,second_num,1988,586.8200073
江苏,third_num,1988,302.8500061
江苏,tGDP,1988,1208.849976
重庆,first_num,1988,75
重庆,second_num,1988,101.1299973
重庆,third_num,1988,63.91999817
重庆,tGDP,1988,240.0500031
宁夏,first_num,1988,13.39000034
宁夏,second_num,1988,19.73999977
宁夏,third_num,1988,17.15999985
宁夏,tGDP,1988,50.29000092
海南,first_num,1988,38.45999908
海南,second_num,1988,14.18999958
海南,third_num,1988,24.35000038
海南,tGDP,1988,77
台湾,first_num,1988,0
台湾,second_num,1988,0
台湾,third_num,1988,0
台湾,tGDP,1988,0
北京,first_num,1988,37.06999969
北京,second_num,1988,221.2700043
北京,third_num,1988,151.8800049
北京,tGDP,1988,410.2200012
天津,first_num,1988,26.20999908
天津,second_num,1988,160.9600067
天津,third_num,1988,72.54000092
天津,tGDP,1988,259.7099915
上海,first_num,1988,27.36000061
上海,second_num,1988,433.0499878
上海,third_num,1988,187.8899994
上海,tGDP,1988,648.2999878
香港,first_num,1988,0
香港,second_num,1988,0
香港,third_num,1988,0
香港,tGDP,1988,0
澳门,first_num,1988,0
澳门,second_num,1988,0
澳门,third_num,1988,0
澳门,tGDP,1988,0
中国,first_num,1988,3831.199951
中国,second_num,1988,6607.399902
中国,third_num,1988,4741.799805
中国,tGDP,1988,15180.40039
新疆,first_num,1989,78.01000214
新疆,second_num,1989,73.83000183
新疆,third_num,1989,65.44999695
新疆,tGDP,1989,217.2899933
西藏,first_num,1989,10.03999996
西藏,second_num,1989,2.839999914
西藏,third_num,1989,8.979999542
西藏,tGDP,1989,21.86000061
内蒙古,first_num,1989,89.08000183
内蒙古,second_num,1989,98.95999908
内蒙古,third_num,1989,104.6500015
内蒙古,tGDP,1989,292.6900024
青海,first_num,1989,15.72999954
青海,second_num,1989,25.29000092
青海,third_num,1989,19.35000038
青海,tGDP,1989,60.36999893
四川,first_num,1989,263.1499939
四川,second_num,1989,263.4400024
四川,third_num,1989,218.3899994
四川,tGDP,1989,744.9799805
黑龙江,first_num,1989,93.90000153
黑龙江,second_num,1989,345.5
黑龙江,third_num,1989,191.1999969
黑龙江,tGDP,1989,630.5999756
甘肃,first_num,1989,59.00999832
甘肃,second_num,1989,91.79000092
甘肃,third_num,1989,66.04000092
甘肃,tGDP,1989,216.8399963
云南,first_num,1989,119.0100021
云南,second_num,1989,138.0599976
云南,third_num,1989,105.9800034
云南,tGDP,1989,363.0499878
广西,first_num,1989,149.9799957
广西,second_num,1989,109.9700012
广西,third_num,1989,123.4899979
广西,tGDP,1989,383.4400024
湖南,first_num,1989,234.3099976
湖南,second_num,1989,240.1799927
湖南,third_num,1989,166.3099976
湖南,tGDP,1989,640.7999878
陕西,first_num,1989,91.27999878
陕西,second_num,1989,158.5
陕西,third_num,1989,108.5899963
