Year,Provenceid,Provence,tGDP,first_num,second_num,third_num,first_por,second_por,third_por,avgpeople
1953,320000,江苏省,53.41999817,25.86000061,10.26000023,17.29999924,48.40879822,19.20630074,32.38489914,141
1953,120000,天津市,17.57999992,1.75999999,8.489999771,7.329999924,10.01140022,48.29349899,41.69509888,393
1953,610000,陕西省,17.44000053,11.02999973,2.839999914,3.569999933,63.24539948,16.28440094,20.47019958,111
1953,360000,江西省,19.70999908,12.26000023,2.890000105,4.559999943,62.20190048,14.66259956,23.13549995,118
1953,220000,吉林省,18.96999931,8.93999958,6,4.03000021,47.1269989,31.62890053,21.24410057,166
1953,430000,湖南省,30.29000092,18.47999954,4.28000021,7.53000021,61.0102005,14.13010025,24.85969925,91
1953,650000,新疆维吾尔自治区,8.739999771,5.510000229,2.099999905,1.129999995,63.04349899,24.02750015,12.92910004,179
1953,330000,浙江省,27.23999977,16.54999924,3.859999895,6.829999924,60.75619888,14.17029953,25.0734005,122
1954,142,中国,859.7999878,392,210.8000031,257,45.59999847,24.5,29.89999962,144
1954,410000,河南省,44.02000046,26.45000076,10.88000011,6.690000057,60.0862999,24.7159996,15.19760036,98
1954,210000,辽宁省,56.90000153,14,29.32999992,13.56999969,24.60460091,51.54660034,23.84889984,272
1954,310000,上海市,54.70000076,2.25999999,29.67000008,22.77000046,4.131599903,54.24129868,41.6271019,589
1954,630000,青海省,2.349999905,1.669999957,0.239999995,0.439999998,71.063797,10.21280003,18.72340012,138
1954,220000,吉林省,20.43000031,9.100000381,6.960000038,4.369999886,44.54230118,34.06750107,21.39010048,176
1954,650000,新疆维吾尔自治区,10.53999996,6.260000229,2.700000048,1.580000043,59.39279938,25.61669922,14.99050045,211
1954,420000,湖北省,25.51000023,12.97000027,5.96999979,6.570000172,50.84280014,23.40259933,25.75460052,90
1954,620000,甘肃省,16.29999924,10.43000031,2.440000057,3.430000067,63.98770142,14.96930027,21.04290009,146
1954,520000,贵州省,11.14000034,7.190000057,2.190000057,1.75999999,64.54219818,19.65889931,15.79889965,72
1954,640000,宁夏回族自治区,2.140000105,1.679999948,0.150000006,0.310000002,78.50469971,7.009300232,14.48600006,138
1954,530000,云南省,17.03000069,9.920000076,3.569999933,3.539999962,58.25009918,20.96299934,20.78680038,97
1954,130000,河北省,45.31000137,25.37999916,9.140000343,10.78999996,56.01409912,20.17210007,23.81369972,134
1954,610000,陕西省,20.04000092,12.34000015,3.730000019,3.970000029,61.5768013,18.6128006,19.81040001,123
1954,150000,内蒙古自治区,19.45999908,12.36999989,3.650000095,3.440000057,63.56629944,18.75639915,17.6772995,249
1954,360000,江西省,20.65999985,12.22000027,3.190000057,5.25,59.14810181,15.44050026,25.41139984,121
1954,450000,广西壮族自治区,16.20999908,9.600000381,4.130000114,2.480000019,59.22269821,25.47809982,15.29920006,81.16000366
1954,120000,天津市,16.97999954,1.789999962,8.930000305,6.260000229,10.54179955,52.59130096,36.8669014,364
1954,330000,浙江省,28.64999962,17.76000023,4.130000114,6.760000229,61.98949814,14.41539955,23.5951004,125
1954,370000,山东省,52.97999954,32.47999954,10.97999954,9.520000458,61.30619812,20.72480011,17.96899986,106
1954,350000,福建省,14.85999966,8.819999695,3.170000076,2.869999886,59.35400009,21.33239937,19.31360054,113
1954,230000,黑龙江省,36.65999985,14.98999977,13.14000034,8.529999733,40.8893013,35.84289932,23.26790047,300
1954,440000,广东省,46.79999924,24.35000038,9.75,12.69999981,52.0298996,20.83329964,27.13680077,153.1900024
1954,340000,安徽省,27.76000023,20.01000023,3.029999971,4.71999979,72.08209991,10.91499996,17.00289917,89
1954,430000,湖南省,30.51000023,17.03000069,5.130000114,8.350000381,55.81779861,16.81419945,27.36809921,90
1954,110000,北京市,21.12999916,3.00999999,9.31000042,8.81000042,14.24510002,44.06060028,41.69430161,405
1954,320000,江苏省,53.77000046,25.80999947,10.97999954,16.97999954,48.0007019,20.42029953,31.57889938,140
1954,140000,山西省,21.89999962,11.5,4.800000191,5.599999905,52.51139832,21.9178009,25.57080078,151
1954,510000,四川省,40,25.89999962,7.829999924,6.269999981,64.75,19.57500076,15.67500019,83
1955,142,中国,911.5999756,421,221.5,269.1000061,46.20000076,24.29999924,29.5,150
1955,420000,湖北省,34.04999924,18.13999939,7.449999809,8.460000038,53.27460098,21.87960052,24.8458004,118
1955,210000,辽宁省,59.36999893,14.60000038,32.18000031,12.59000015,24.59149933,54.20249939,21.20599937,272
1955,430000,湖南省,35.83000183,21.12999916,5.760000229,8.93999958,58.97290039,16.07589912,24.95120049,104
1955,130000,河北省,49.20000076,28.18000031,9.960000038,11.06000042,57.27640152,20.2439003,22.47970009,141
1955,220000,吉林省,21.12999916,9.869999886,6.480000019,4.78000021,46.71080017,30.66729927,22.62190056,177
1955,360000,江西省,21.86000061,13.02000046,3.450000048,5.389999866,59.56079865,15.7823,24.65690041,125
1955,330000,浙江省,30.53000069,18.78000069,3.880000114,7.869999886,61.51330185,12.70880032,25.7779007,130
1955,140000,山西省,23.89999962,12.10000038,5.800000191,6,50.62760162,24.26779938,25.10460091,160
1955,640000,宁夏回族自治区,2.24000001,1.710000038,0.170000002,0.360000014,76.33930206,7.589300156,16.07139969,138
1955,440000,广东省,47.59000015,24.44000053,10.15999985,12.98999977,51.3553009,21.34900093,27.29570007,151.6100006
1955,340000,安徽省,37.15000153,28.23999977,3.710000038,5.199999809,76.0161972,9.986499786,13.99730015,117
1955,650000,新疆维吾尔自治区,12.31000042,6.699999809,3.220000029,2.400000095,54.4272995,26.1576004,19.49629974,241
1955,310000,上海市,53.63999939,2.710000038,29.38999939,21.54000092,5.052199841,54.79119873,40.15660095,569
1955,410000,河南省,46.52999878,28.13999939,11.11999989,7.269999981,60.47710037,23.89859962,15.6243,101
1955,610000,陕西省,20.57999992,11.43000031,4.849999905,4.300000191,55.53939819,23.5666008,20.89410019,122
1955,350000,福建省,16.45000076,9.619999886,3.49000001,3.339999914,58.48020172,21.21579933,20.30400085,122
1955,530000,云南省,18.34000015,10.43999958,4.130000114,3.769999981,56.92480087,22.51910019,20.55620003,103
1955,320000,江苏省,58.95999908,29.69000053,11.28999996,17.97999954,50.35620117,19.14859962,30.49530029,150
1955,520000,贵州省,11.60999966,7.28000021,2.349999905,1.980000019,62.70460129,20.24119949,17.05430031,74
1955,230000,黑龙江省,38.18000031,16.61000061,12.13000011,9.43999958,43.50450134,31.77059937,24.72500038,297
1955,630000,青海省,2.930000067,1.840000033,0.50999999,0.579999983,62.79859924,17.40609932,19.79520035,164
1955,110000,北京市,23.87999916,3.440000057,10.06999969,10.36999989,14.40540028,42.1692009,43.42549896,436
1955,620000,甘肃省,17.81999969,10.51000023,3.75,3.559999943,58.97869873,21.04380035,19.9776001,154
1955,120000,天津市,17.12000084,2.349999905,9.159999847,5.610000134,13.72659969,53.50469971,32.76869965,357
1955,370000,山东省,57.77999878,35.52000046,11.42000008,10.84000015,61.47460175,19.76460075,18.76079941,113
1955,150000,内蒙古自治区,17.48999977,10.25,3.529999971,3.710000038,58.60490036,20.18300056,21.21209908,213
1955,450000,广西壮族自治区,17.43000031,9.960000038,4.46999979,3,57.14289856,25.64539909,17.21170044,85.62000275
1955,510000,四川省,43.22000122,27.32999992,9.130000114,6.760000229,63.23460007,21.12450027,15.64089966,88
1956,142,中国,1030.699951,443.8999939,280.3999939,306.3999939,43.09999847,27.20000076,29.70000076,166
1956,230000,黑龙江省,42.18999863,17.95000076,13.18999958,11.05000019,42.54560089,31.26329994,26.19099998,308
1956,320000,江苏省,61.90000153,27.76000023,13.78999996,20.35000038,44.8465004,22.2779007,32.87559891,153
1956,150000,内蒙古自治区,24.60000038,14.10999966,5.429999828,5.059999943,57.35770035,22.07320023,20.56909943,283
1956,340000,安徽省,35.27000046,24.69000053,4.550000191,6.03000021,70.00279999,12.9005003,17.09670067,109
1956,410000,河南省,48.11999893,27.04999924,12.06999969,9,56.21360016,25.08309937,18.70319939,102.5
1956,110000,北京市,26.82999992,3.319999933,11.39000034,12.11999989,12.37419987,42.45249939,45.1733017,465
1956,210000,辽宁省,72.04000092,16.60000038,39.47000122,15.97000027,23.0428009,54.78900146,22.16819954,319
1956,620000,甘肃省,21.17000008,11.22000027,5.079999924,4.869999886,52.99950027,23.99620056,23.00429916,174
1956,610000,陕西省,27.13999939,14.92000008,6.519999981,5.699999809,54.9742012,24.02359962,21.00219917,156
1956,450000,广西壮族自治区,19.51000023,10.63000011,4.96999979,3.910000086,54.48490143,25.47410011,20.04100037,94.12999725
1956,430000,湖南省,37.93000031,20.55999947,6.570000172,10.80000019,54.20510101,17.32139969,28.4734993,109
1956,360000,江西省,22.04000092,12.35000038,4.230000019,5.460000038,56.03450012,19.19239998,24.7730999,124
1956,140000,山西省,28.39999962,13.60000038,7.300000191,7.5,47.88729858,25.70420074,26.40850067,186
1956,420000,湖北省,44.59999847,22.29000092,10.23999977,12.06999969,49.9776001,22.95960045,27.06279945,152
1956,310000,上海市,63.61000061,2.380000114,35.25,25.97999954,3.741600037,55.41579819,40.84260178,681
1956,350000,福建省,20.80999947,11.28999996,5.679999828,3.839999914,54.25279999,27.29459953,18.45269966,150
1956,330000,浙江省,33.54000092,18.90999985,5.599999905,9.029999733,56.38040161,16.69650078,26.92309952,139
1956,630000,青海省,3.809999943,1.899999976,1,0.910000026,49.86880112,26.24670029,23.8845005,199
1956,370000,山东省,63.13000107,35.66999817,16.34000015,11.11999989,56.50249863,25.88310051,17.61440086,121
1956,220000,吉林省,24.57999992,10.56000042,8.199999809,5.820000172,42.96179962,33.36050034,23.67779922,200
1956,650000,新疆维吾尔自治区,14.09000015,7.510000229,3.710000038,2.869999886,53.30020142,26.33069992,20.36910057,268
1956,440000,广东省,53.04000092,27.02000046,11.68999958,14.32999992,50.94269943,22.04000092,27.01729965,165.6499939
